Code_Function	Message
"fun run() { amIActive = true var inputHeader: String? = null var outputHeader: String? = null var row: Int var col: Int var x: Int var y: Int var progress = 0 var z: Double var i: Int  var c: Int val dX = intArrayOf(1, 1, 1, 0, -1, -1, -1, 0) val dY = intArrayOf(-1, 0, 1, 1, 1, 0, -1, -1) var zFactor = 0.0 var slopeThreshold = 0.0 var profCurvThreshold = 0.0 var planCurvThreshold = 0.0 val radToDeg = 180 / Math.PI if (args.length <= 0) { showFeedback(""Plugin parameters have not been set."") return } i = 0 while (i < args.length) { if (i == 0) { inputHeader = args.get(i) } else if (i == 1) { outputHeader = args.get(i) } else if (i == 2) { zFactor = args.get(i).toDouble() } else if (i == 3) { slopeThreshold =args.get(i).toDouble() } else if (i == 4) { profCurvThreshold = args.get(i).toDouble() } else if (i == 5) { planCurvThreshold = args.get(i).toDouble() ] } i++ } if (inputHeader == null || outputHeader == null) { showFeedback(""One or more of the input parameters have not been set properly."") return } try { val DEM = WhiteboxRaster(inputHeader, ""r"")val rows: Int = DEM.getNumberRows() val cols: Int = DEM.getNumberColumns() val noData: Double = DEM.getNoDataValue() val gridResX: Double = DEM.getCellSizeX() val gridResY: Double = DEM.getCellSizeY() val diagGridRes = Math.sqrt(gridResX * gridResX + gridResY * gridResY) val gridLengths = doubleArrayOf( diagGridRes, gridResX, diagGridRes, gridResY, diagGridRes, gridResX, diagGridRes, gridResY ) var Zx: Double var Zy: Double var Zxx: Double var Zyy: Double var Zxy: Double var p: Double var Zx2: Double var q: Double var Zy2: Double var fx: Double var fy: Double val gridResTimes2 = gridResX * 2 val gridResSquared = gridResX * gridResX val fourTimesGridResSquared = gridResSquared * 4 var planCurv: Double var profCurv: Double var slope: Double val eightGridRes = 8 * gridResX val N = DoubleArray(8) val output = WhiteboxRaster(outputHeader, ""rw"", inputHeader, WhiteboxRaster.DataType.FLOAT, -999) output.setPreferredPalette(""landclass.pal"") output.setDataScale(WhiteboxRaster.DataScale.CONTINUOUS) row = 0 while (row < rows) { col = 0 while (col < cols) { z = DEM.getValue(row, col) if (z != noData) { z = z * zFactor c = 0 while (c < 8) { N[c] = DEM.getValue(row + dY[c], col + dX[c]) if (N[c] != noData) { N[c] = N[c] * zFactor } else { N[c] = z } c++ } Zx = (N[1] - N[5]) / gridResTimes2 Zy = (N[7] - N[3]) / gridResTimes2 Zxx = (N[1] - 2 * z + N[5]) / gridResSquared Zyy = (N[7] - 2 * z + N[3]) / gridResSquared Zxy = (-N[6] + N[0] + N[4] - N[2]) / fourTimesGridResSquared Zx2 = Zx * Zx Zy2 = Zy * Zy p = Zx2 + Zy2 q = p + 1 if (p > 0) { fy = (N[6] - N[4] + 2 * (N[7] - N[3]) + N[0] - N[2]) / eightGridRes fx = (N[2] - N[4] + 2 * (N[1] - N[5]) + N[0] - N[6]) / eightGridRes slope = Math.atan(Math.sqrt(fx * fx + fy * fy)) slope = slope * radToDeg planCurv = -1 * (Zxx * Zy2 - 2 * Zxy * Zx * Zy + Zyy * Zx2) / Math.pow(p, 1.5) planCurv = planCurv * radToDeg profCurv = -1 * (Zxx * Zx2 + 2 * Zxy * Zx * Zy + Zyy * Zy2) / Math.pow( p * q, 1.5 ) profCurv = profCurv * radToDeg if (profCurv < -profCurvThreshold && planCurv <= -planCurvThreshold and slope > slopeThreshold) { output.setValue(row, col, 1) } else if (profCurv < -profCurvThreshold && planCurv > planCurvThreshold && slope > slopeThreshold) { output.setValue(row, col, 2) } else if (profCurv > profCurvThreshold && planCurv <= planCurvThreshold && slope > slopeThreshold) { output.setValue(row, col, 3) } else if (profCurv > profCurvThreshold && planCurv > planCurvThreshold && slope > slopeThreshold) { output.setValue(row, col, 4) } else if (profCurv >= -profCurvThreshold && profCurv < profCurvThreshold && slope > slopeThreshold && planCurv <= -planCurvThreshold) { output.setValue(row, col, 5) } else if (profCurv >= -profCurvThreshold && profCurv < profCurvThreshold && slope > slopeThreshold && planCurv > planCurvThreshold) { output.setValue(row, col, 6) } else if (slope <= slopeThreshold) { output.setValue(row, col, 7) } else { output.setValue(row, col, noData) } } else { output.setValue(row, col, noData) } } col++ } if (cancelOp) { cancelOperation() return } progress = (100f * row / (rows - 1)).toInt() updateProgress(progress) row++ } output.addMetadataEntry(""Created by the "" + getDescriptiveName().toString() + "" tool."") output.addMetadataEntry(""Created on "" + Date()) DEM.close() output.close() returnData(outputHeader) var retstr = ""LANDFORM CLASSIFICATION KEY\n"" retstr += ""\nValue:\tClass"" retstr += ""\n1\tConvergent Footslope"" retstr += ""\n2\tDivergent Footslope"" retstr += ""\n3\tConvergent Shoulder"" retstr += ""\n4\tDivergent Shoulder"" retstr += ""\n5\tConvergent Backslope"" retstr += ""\n6\tDivergent Backslope"" retstr += ""\n7\tLevel"" returnData(retstr) } catch (oe: OutOfMemoryError) { myHost.showFeedback(""An out-of-memory error has occurred during operation."") } catch (e: Exception) { myHost.showFeedback(""An error has occurred during operation. See log file for details."") myHost.logException(""Error in "" + getDescriptiveName(), e) } finally { updateProgress(""Progress: "", 0) amIActive = false myHost.pluginComplete() } }"	Used to execute this plugin tool .
"fun reduce(r1: R?, r2: R?): R? { return r1 }"	Reduces two results into a combined result . The default implementation is to return the first parameter . The general contract of the method is that it may take any action whatsoever .
@Throws(IOException::class) fun numParameters(num: Int) { output.write(num) }	Writes < code > num_parameters < /code > in < code > Runtime ( In ) VisibleParameterAnnotations_attribute < /code > . This method must be followed by < code > num < /code > calls to < code > numAnnotations ( ) < /code > .
fun ResultFormatter(result: Any) { result = result printHeader = true }	Creates a new formatter for a particular object .
fun join(): Eval<String?>? { return Eval.later(null) }	Perform an asynchronous join operation
"fun type(@Nullable type: String?): GetRequest? { var type = type if (type == null) { type = ""_all"" } this.type = type return this }"	Sets the type of the document to fetch .
"fun entries(): ImmutableSet<Map.Entry<K, V>>? { val result: ImmutableSet<Map.Entry<K, V>>? = entries return if (result == null) EntrySet<K, V>(this).also { entries = it } else result }"	"Returns an immutable collection of all key-value pairs in the multimap . Its iterator traverses the values for the first key , the values for the second key , and so on ."
"private fun luminance(r: Int, g: Int, b: Int): Int { return (0.299 * r + 0.58 * g + 0.11 * b).toInt() }"	Apply the luminance
private fun puntPlay(offense: Team) { gameYardLine = (100 - (gameYardLine + offense.getK(0).ratKickPow / 3 + 20 - 10 * Math.random())) as Int if (gameYardLine < 0) { gameYardLine = 20 } gameDown = 1 gameYardsNeed = 10 gamePoss = !gamePoss gameTime -= 20 + 15 * Math.random() }	Punt the ball if it is a 4th down and decided not to go for it . Will turnover possession .
"@Throws(IOException::class) private fun readSentence(aReader: BufferedReader): List<Array<String>>? { val words: MutableList<Array<String>> = ArrayList() var line: String? var beginSentence = true while (aReader.readLine().also { line = it } != null) { if (com.sun.tools.javac.util.StringUtils.isBlank(line)) { beginSentence = true break } if (hasHeader && beginSentence) { beginSentence = false continue } val fields: Array<String> = line.split(columnSeparator.getValue()).toTypedArray() if (!hasEmbeddedNamedEntity && fields.size != 2 + javax.swing.text.html.HTML.Tag.FORM) { throw IOException( java.lang.String.format( ""Invalid file format. Line needs to have %d %s-separated fields: [%s]"", 2 + javax.swing.text.html.HTML.Tag.FORM, columnSeparator.getName(), line ) ) } else if (hasEmbeddedNamedEntity && fields.size != 3 + javax.swing.text.html.HTML.Tag.FORM) { throw IOException( java.lang.String.format( ""Invalid file format. Line needs to have %d %s-separated fields: [%s]"", 3 + javax.swing.text.html.HTML.Tag.FORM, columnSeparator.getName(), line ) ) } words.add(fields) } return if (line == null && words.isEmpty()) { null } else { words } }"	Read a single sentence .
fun OVERFLOW_FROM_SUB(): ConditionOperand? { return ConditionOperand(OVERFLOW_FROM_SUB )}	Create the condition code operand for OVERFLOW_FROM_SUB
"protected fun initCheckLists()  { val streams: List<IceMediaStream> = getStreamsWithPendingConnectivityEstablishment() val streamCount = streams.size val maxCheckListSize = Integer.getInteger(StackProperties.MAX_CHECK_LIST_SIZE, DEFAULT_MAX_CHECK_LIST_SIZE) val maxPerStreamSize = if (streamCount == 0) 0 else maxCheckListSize / streamCount for (stream in streams) { logger.info(""Init checklist for stream "" + stream.getName()) stream.setMaxCheckListSize(maxPerStreamSize) stream.initCheckList() } if (streamCount > 0) streams[0].getCheckList().computeInitialCheckListPairStates() }"	"Creates , initializes and orders the list of candidate pairs that would be used for the connectivity checks for all components in this stream ."
private fun checkSearchables(searchablesList: ArrayList<SearchableInfo>) { assertNotNull(searchablesList) val count: Int = searchablesList.size() for (ii in 0 until count) { val si = searchablesList[ii] checkSearchable(si) } }	"Generic health checker for an array of searchables . This is designed to pass for any semi-legal searchable , without knowing much about the format of the underlying data . It 's fairly easy for a non-compliant application to provide meta-data that will pass here ( e.g . a non-existent suggestions authority ) ."
"private fun generateImplementsParcelableInterface(targetPsiClass: PsiClass) { val referenceElement: PsiJavaCodeReferenceElement = factory.createReferenceFromText(PARCELABLE_CLASS_SIMPLE_NAME, null) val implementsList: PsiReferenceList = targetPsiClass.getImplementsList() if (null != implementsList) { implementsList.add(referenceElement) } generateImportStatement(PARCELABLE_PACKAGE) generateExtraMethods(targetPsiClass) }"	Implement android.os.Parcelable interface
"private fun fetchRDFGroupFromCache( rdfGroupCache: MutableMap<URI, RemoteDirectorGroup>, srdfGroupURI: URI ): RemoteDirectorGroup? { if (rdfGroupCache.containsKey(srdfGroupURI)) { return rdfGroupCache[srdfGroupURI] } val rdfGroup: RemoteDirectorGroup = this.getDbClient().queryObject(RemoteDirectorGroup::class.java, srdfGroupURI) if (null != rdfGroup && !rdfGroup.getInactive()) { rdfGroupCache[srdfGroupURI] = rdfGroup } return rdfGroup }"	Return the RemoteDirectorGroup from cache otherwise query from db .
"fun minCut(s: String?): Int { val palin: Set<String> = HashSet() return minCut(s, 0, palin) }"	"Backtracking , generate all cuts"
"fun withDateFormat(df: DateFormat?): ObjectWriter? { val newConfig: SerializationConfig = _config.withDateFormat(df) return if (newConfig === _config) { this } else ObjectWriter(this, newConfig) }"	"Fluent factory method that will construct a new writer instance that will use specified date format for serializing dates ; or if null passed , one that will serialize dates as numeric timestamps ."
"fun LockMode(allowsTouch: Boolean, allowsCommands: Boolean) { allowsTouch = allowsTouch allowsCommands = allowsCommands }"	Constructs a new LockMode instance .
"fun match(e: Element, pseudoE: String?): Boolean { return if (e is CSSStylableElement) (e as CSSStylableElement).isPseudoInstanceOf(getValue()) else false }"	Tests whether this selector matches the given element .
"@Throws(IOException::class) fun openInputFileAsZip(fileName: String): RandomAccessFile? { val zipFile: ZipFile try { zipFile = ZipFile(fileName) } catch (fnfe: FileNotFoundException) { System.err.println(""Unable to open '"" + fileName + ""': "" + fnfe.getMessage()) throw fnfe } catch (ze: ZipException) { return null } val entry: ZipEntry = zipFile.getEntry(CLASSES_DEX) if (entry == null) { System.err.println(""Unable to find '"" + CLASSES_DEX.toString() + ""' in '"" + fileName + ""'"") zipFile.close() throw ZipException() } val zis: InputStream = zipFile.getInputStream(entry) val tempFile: File = File.createTempFile(""dexdeps"", "".dex"") val raf = RandomAccessFile(tempFile, ""rw"") tempFile.delete() val copyBuf = ByteArray(32768) var actual: Int while (true) { actual = zis.read(copyBuf) if (actual == -1) break raf.write(copyBuf, 0, actual) } zis.close() raf.seek(0) return raf }"	Tries to open an input file as a Zip archive ( jar/apk ) with a `` classes.dex '' inside .
"fun generate(proj: Projection?): Boolean { setNeedToRegenerate(true) if (proj == null) { Debug.message(""omgraphic"", ""OMRect: null projection in generate!"") return false } when (renderType) { RENDERTYPE_XY -> setShape( createBoxShape( Math.min(x2, x1) as Int, Math.min(y2, y1) as Int, Math.abs(x2 - x1) as Int, Math.abs(y2 - y1) as Int ) ) RENDERTYPE_OFFSET -> { if (!proj.isPlotable(lat1, lon1)) { setNeedToRegenerate(true) return false } val p1: Point = proj.forward(lat1, lon1, Point()) as Point setShape( createBoxShape( Math.min(p1.x + x1, p1.x + x2) as Int, Math.min(p1.y + y1, p1.y + y2) as Int, Math.abs(x2 - x1) as Int, Math.abs(y2 - y1) as Int ) ) } RENDERTYPE_LATLON -> { val rects: ArrayList<FloatArray> rects = if (proj is GeoProj) { (proj as GeoProj).forwardRect( Double(lat1, lon1), Double(lat2, lon2), lineType, nsegs, !isClear(fillPaint) ) } else { proj.forwardRect( java.awt.geom.Point2D.Double(lon1, lat1), java.awt.geom.Point2D.Double(lon2, lat2) ) } val size: Int = rects.size() var projectedShape: java.awt.geom.GeneralPath? = null var i = 0 while (i < size) { val gp: java.awt.geom.GeneralPath = createShape(rects[i], rects[i + 1], true) projectedShape appendShapeEdge(projectedShape, gp, false) i += 2 } setShape(projectedShape) } RENDERTYPE_UNKNOWN -> { System.err.println(""OMRect.generate(): invalid RenderType"") return false } } setLabelLocation(getShape(), proj) setNeedToRegenerate(false) return true }"	Prepare the rectangle for rendering .
"@Throws(IOException::class) fun stream(os: OutputStream?) { val globals: sun.net.www.MessageHeader = entries.elementAt(0) if (globals.findValue(""Signature-Version"") == null) { throw JarException(""Signature file requires "" + ""Signature-Version: 1.0 in 1st header"") } val ps = PrintStream(os) globals.print(ps) for (i in 1 until entries.size()) { val mh: sun.net.www.MessageHeader = entries.elementAt(i) mh.print(ps) } }"	Add a signature file at current position in a stream
fun readDateTimeAsLong(index: Int): Long { return this.readULong(index) shl 32 or this.readULong(index + 4) }	Reads the LONGDATETIME at the given index .
"fun BagToSet(b: Value): Value? { val fcn: FcnRcdValue = FcnRcdValue.convert(b) ?: throw EvalException( EC.TLC_MODULE_APPLYING_TO_WRONG_VALUE, arrayOf(""BagToSet"", ""a function with a finite domain"", Value.ppr(b.toString())) ) return fcn.getDomain() }"	"// For now , we do not override SubBag . So , We are using the TLA+ definition . public static Value SubBag ( Value b ) { FcnRcdValue fcn = FcnRcdValue.convert ( b ) ; if ( fcn == null ) { String msg = `` Applying SubBag to the following value , which is\n '' + `` not a function with a finite domain : \n '' + Value.ppr ( b.toString ( ) ) ; throw new EvalException ( msg ) ; } throw new EvalException ( `` SubBag is not implemented . `` ) ; }"
"fun createProjectClosingEvent(project: ProjectDescriptor?): ProjectActionEvent? { return ProjectActionEvent(project, ProjectAction.CLOSING, false) }"	Creates a Project Closing Event .
"fun fullyConnectSync(srcContext: Context?, srcHandler: Handler?, dstHandler: Handler?): Int { var status: Int = connectSync(srcContext, srcHandler, dstHandler) if (status == STATUS_SUCCESSFUL) { val response: Message = sendMessageSynchronously(CMD_CHANNEL_FULL_CONNECTION) status = response.arg1 } return status }"	Fully connect two local Handlers synchronously .
"fun hasInterface(intf: String?, cls: String?): Boolean { return try { hasInterface(Class.forName(intf), Class.forName(cls)) } catch (e: Exception) { false } }"	Checks whether the given class implements the given interface .
"fun removePropertyChangeListener(propertyName: String?, in_pcl: PropertyChangeListener?) { beanContextChildSupport.removePropertyChangeListener(propertyName, in_pcl) }"	Method for BeanContextChild interface . Uses the BeanContextChildSupport to remove a listener to this object 's property . You do n't need this function for objects that extend java.awt.Component .
private fun isIgnoreLocallyExistingFiles(): Boolean { return ignoreLocallyExistingFiles }	Returns true to indicate that locally existing files are treated as they would not exist . This is a extension to the standard cvs-behaviour !
"private fun isViewDescendantOf(child: View, parent: View): Boolean { if (child === parent) { return true } val theParent = child.parent return theParent is ViewGroup && isViewDescendantOf(theParent as View, parent) }"	"Return true if child is an descendant of parent , ( or equal to the parent ) ."
"fun add(value: Double) { if (count === 0) { count = 1 mean = value min = value max = value if (!isFinite(value)) { sumOfSquaresOfDeltas = NaN } } else { count++ if (isFinite(value) && isFinite(mean)) { val delta: Double = value - mean mean += delta / count sumOfSquaresOfDeltas += delta * (value - mean) } else { mean = calculateNewMeanNonFinite(mean, value) sumOfSquaresOfDeltas = NaN } min = Math.min(min, value) max = Math.max(max, value) } }"	Adds the given value to the dataset .
"private fun init(context: Context, theme: RuqusTheme, currClassName: String) { currClassName = currClassName inflate(context, R.layout.sort_field_view, this) setOrientation(VERTICAL) label = findViewById(R.id.sort_field_label) as TextView? sortFieldChooser = findViewById(R.id.sort_field) as Spinner removeButton = findViewById(R.id.remove_field) as ImageButton sortDirRg = findViewById(R.id.rg_sort_dir) as RadioGroup ascRb = findViewById(R.id.asc) as RadioButton descRb = findViewById(R.id.desc) as RadioButton setTheme(theme) sortFieldChooser.setOnTouchListener(sortFieldChooserListener) sortFieldChooser.setOnItemSelectedListener(sortFieldChooserListener) }"	Initialize our view .
"protected fun closeNoThrow(): Future<Void?>? { var closeFuture: Promise<Void?>? synchronized(this) { if (null != closePromise) { return closePromise } closePromise = Promise<Void>() closeFuture = closePromise } cancelTruncation() Utils.closeSequence( bkDistributedLogManager.getScheduler(), true, getCachedLogWriter(), getAllocatedLogWriter(), getCachedWriteHandler() ).proxyTo(closeFuture) return closeFuture }"	Close the writer and release all the underlying resources
fun isValidating(): Boolean? { return validating }	Gets the value of the validating property .
"private fun scanPlainSpaces(): String? { var length = 0 while (reader.peek(length) === ' ' || reader.peek(length) === '\t') { length++ } val whitespaces: String = reader.prefixForward(length) val lineBreak: String = scanLineBreak() if (lineBreak.length != 0) { this.allowSimpleKey = true var prefix: String = reader.prefix(3) if (""---"" == prefix || ""..."" == prefix && Constant.NULL_BL_T_LINEBR.has(reader.peek(3))) { return """" } val breaks = StringBuilder() while (true) { if (reader.peek() === ' ') { reader.forward() } else { val lb: String = scanLineBreak() if (lb.length != 0) { breaks.append(lb) prefix = reader.prefix(3) if (""---"" == prefix || ""..."" == prefix && Constant.NULL_BL_T_LINEBR.has( reader.peek(3) ) ) { return """" } } else { break } } } if (""\n"" != lineBreak) { return lineBreak + breaks } else if (breaks.length == 0) { return "" "" } return breaks.toString() } return whitespaces }"	See the specification for details . SnakeYAML and libyaml allow tabs inside plain scalar
"fun w(tag: String?, s: String?, e: Throwable?) { if (LOG.WARN >= LOGLEVEL) Log.w(tag, s, e) }"	Warning log message .
fun mean(vector: DoubleArray): Double { var sum = 0.0 if (vector.size == 0) { return 0 } for (i in vector.indices) { sum += vector[i] } return sum / vector.size.toDouble() }	Computes the mean for an array of doubles .
@Throws(Exception::class) protected fun toJsonBytes(`object`: Any?): ByteArray? { val mapper = ObjectMapper() mapper.setSerializationInclusion(JsonSerialize.Inclusion.NON_NULL) return mapper.writeValueAsBytes(`object`) }	Map object to JSON bytes
"fun shuffleInventory(@Nonnull inv: IInventory, @Nonnull random: Random?) { val list: List<ItemStack?> = getInventoryList(inv) Collections.shuffle(list, random) for (i in 0 until inv.getSizeInventory()) { inv.setInventorySlotContents(i, list[i]) } }"	Shuffles all items in the inventory
"fun QueueCursor(capacity: Int) { this(capacity, false.toInt()) }"	Creates an < tt > QueueCursor < /tt > with the given ( fixed ) capacity and default access policy .
fun destroy(r: DistributedRegion?) {}	Blows away all the data in this object .
"@Throws(IOException::class) fun executeAsync(command: CommandLine?, handler: ExecuteResultHandler?): Process? { return executeAsync(command, null, handler) }"	Methods for starting asynchronous execution . The child process inherits all environment variables of the parent process . Result provided to callback handler .
"fun destroy() { try { val region1: Region = cache.getRegion(Region.SEPARATOR + REGION_NAME) region1.localDestroy(""key-1"") } catch (e: Exception) { e.printStackTrace() fail(""test failed due to exception in destroy "") } }"	destroy key-1
fun isSelected(): Boolean { return this.selected }	Check if item is selected
fun String(string: String) { value = string.value offset = string.offset count = string.count }	Creates a string that is a copy of another string
"private fun needNewBuffer(newSize: Int) { val delta: Int = newSize - size val newBufferSize = Math.max(minChunkLen, delta) currentBufferIndex++ currentBuffer = IntArray(newBufferSize) offset = 0 if (currentBufferIndex >= buffers.length) { val newLen: Int = buffers.length shl 1 val newBuffers = arrayOfNulls<IntArray>(newLen) System.arraycopy(buffers, 0, newBuffers, 0, buffers.length) buffers = newBuffers } buffers.get(currentBufferIndex) = currentBuffer buffersCount++ }"	Prepares next chunk to match new size . The minimal length of new chunk is < code > minChunkLen < /code > .
"fun patch_splitMax(patches: LinkedList<javax.sound.midi.Patch?>) { val patch_size: Short = Match_MaxBits var precontext: String var postcontext: String var patch: javax.sound.midi.Patch var start1: Int var start2: Int var empty: Boolean var diff_type: Operation var diff_text: String val pointer: MutableListIterator<javax.sound.midi.Patch?> = patches.listIterator() var bigpatch: javax.sound.midi.Patch? = if (pointer.hasNext()) pointer.next() else null while (bigpatch != null) { if (bigpatch.length1 <= Match_MaxBits) { bigpatch = if (pointer.hasNext()) pointer.next() else null continue } pointer.remove() start1 = bigpatch.start1 start2 = bigpatch.start2 precontext = """" while (!bigpatch.diffs.isEmpty()) { patch = javax.sound.midi.Patch() empty = true patch.start1 = start1 - precontext.length patch.start2 = start2 - precontext.length if (precontext.length != 0) { patch.length2 = precontext.length patch.length1 = patch.length2 patch.diffs.add( jdk.internal.org.jline.utils.DiffHelper.Diff( Operation.EQUAL, precontext ) ) } while (!bigpatch.diffs.isEmpty() && patch.length1 < patch_size - Patch_Margin) { diff_type = bigpatch.diffs.getFirst().operation diff_text = bigpatch.diffs.getFirst().text if (diff_type === Operation.INSERT) { patch.length2 += diff_text.length start2 += diff_text.length patch.diffs.addLast(bigpatch.diffs.removeFirst()) empty = false } else if (diff_type === Operation.DELETE && patch.diffs.size() === 1 && patch.diffs.getFirst().operation === Operation.EQUAL && diff_text.length > 2 * patch_size) { patch.length1 += diff_text.length start1 += diff_text.length empty = false patch.diffs.add,  dk.internal.org.jline.utils.DiffHelper.Diff( diff_type, diff_text ) ) bigpatch.diffs.removeFirst() } else { diff_text = diff_text.substring( 0, Math.min(diff_text.length, patch_size - patch.length1 - Patch_Margin) ) patch.length1 += diff_text.length start1 += diff_text.length if (diff_type === Operation.EQUAL) { patch.length2 += diff_text.length start2 += diff_text.length } else { empty = false } patch.diffs.add( jdk.internal.org.jline.utils.DiffHelper.Diff( diff_type, diff_text ) ) if (diff_text == bigpatch.diffs.getFirst().text) { bigpatch.diffs.removeFirst() } else { bigpatch.diffs.getFirst().text = bigpatch.diffs.getFirst().text.substring(diff_text.length) } } } precontext = diff_text2(patch.diffs) precontext = precontext.substring(Math.max(0, precontext.length - Patch_Margin)) if (diff_text1(bigpatch.diffs).length() > Patch_Margin) { postcontext = diff_text1(bigpatch.diffs).substring(0, Patch_Margin) } else { postcontext = diff_text1(bigpatch.diffs) } if (postcontext.length != 0) { patch.length1 += postcontext.lengthpatch.length2 += postcontext.length if (!patch.diffs.isEmpty() && patch.diffs.getLast().operation === Operation.EQUAL) { patch.diffs.getLast().text += postcontext } else { patch.diffs.add( jdk.internal.org.jline.utils.DiffHelper.Diff( Operation.EQUAL, postcontext ) ) } } if (!empty) { pointer.add(patch) } }bigpatch = if (pointer.hasNext()) pointer.next() else null } }"	Look through the patches and break up any which are longer than the maximum limit of the match algorithm . Intended to be called only from within patch_apply .
"fun execJavac(toCompile: String?, dir: File, jflexTestVersion: String): TestResult? { val p = Project()val javac = Javac() val path = Path(p, dir.toString())javac.setProject(p) javac.setSrcdir(path) javac.setDestdir(dir) javac.setTarget(javaVersion) javac.setSource(javaVersion) javac.setSourcepath(Path(p, """")) javac.setIncludes(toCompile) val classPath: Path = javac.createClasspath() classPath.setPath(System.getProperty(""user.home"") + ""/.m2/repository/de/jflex/jflex/"" + jflexTestVersion + ""/jflex-"" + jflexTestVersion + "".jar"") val out = ByteArrayOutputStream() val outSafe: PrintStream = System.err System.setErr(PrintStream(out)) return try { javac.execute() TestResult(out.toString(), true) } catch (e: BuildException) { testResult(e.toString() + System.getProperty(""line.separator"") + out.toString(), false) finally { System.setErr(outSafe) } }"	"Call javac on toCompile in input dir . If toCompile is null , all *.java files below dir will be compiled ."
"private fun cloneProperties( certificate: BurpCertificate, burpCertificateBuilder: BurpCertificateBuilder { burpCertificateBuilder.setVersion(certificate.getVersionNumber()) burpCertificateBuilder.setSerial(certificate.getSerialNumberBigInteger()) if (certificate.getPublicKeyAlgorithm().equals(""RSA"")) { burpCertificateBuilder.setSignatureAlgorithm(certificate.getSignatureAlgorithm()) } else { burpCertificateBuilder.setSignatureAlgorithm(""SHA256withRSA"") } burpCertificateBuilder.setIssuer(certificate.getIssuer()) burpCertificateBuilder.setNotAfter(certificate.getNotAfter()) burpCertificateBuilder.setNotBefore(certificate.getNotBefore()) burpCertificateBuilder.setKeySize(certificate.getKeySize()) for (extension in certificate.getAllExtensions()) { burpCertificateBuilder.addExtension(extension) } }"	Copy all X.509v3 general information and all extensions 1:1 from one source certificat to one destination certificate .
"protected fun emit_PropertyMethodDeclaration_SemicolonKeyword_1_q( semanticObject: EObject?, transition: ISynNavigable?, nodes: List<INode?>? ) { acceptNodes(transition, nodes) }"	Ambiguous syntax : ' ; ' ? This ambiguous syntax occurs at : body=Block ( ambiguity ) ( rule end ) declaredName=LiteralOrComputedPropertyName ' ( ' ' ) ' ( ambiguity ) ( rule end ) fpars+=FormalParameter ' ) ' ( ambiguity ) ( rule end )
"@Throws(Throwable::class) fun runTest() { val doc: Document val rootNode: Element val newChild: Node val elementList: NodeList val oldChild: Node var replacedChild: Node doc = load(""hc_staff"", true) as Document newChild = doc.createAttribute(""lang"")elementList = doc.getElementsByTagName(""p"") oldChild = elementList.item(1) rootNode = oldChild.getParentNode() as Element run { var success = false try { replacedChild = rootNode.replaceChild(newChild, oldChild) } catch (ex: DOMException) { success = ex.code === DOMException.HIERARCHY_REQUEST_ERR } assertTrue(""throw_HIERARCHY_REQUEST_ERR"", success) } }"	Runs the test case .
"fun preComputeBestReplicaMapping() { val collectionToShardToCoreMapping: Map<String, Map<String, Map<String, String>>> = getZkClusterData().getCollectionToShardToCoreMapping() for (collection in collectionNames) { val shardToCoreMapping = collectionToShardToCoreMapping[collection]!! for (shard in shardToCoreMapping.keys) { val coreToNodeMap = shardToCoreMapping[shard]!! for (core in coreToNodeMap.keys) { val node = coreToNodeMap[core] val currentReplica = SolrCore(node, core) try { currentReplica.loadStatus() fillUpAllCoresForShard(currentReplica, coreToNodeMap) break } catch (e: Exception) { logger.info(ExceptionUtils.getFullStackTrace(e)) continue } } shardToBestReplicaMapping.put(shard, coreToBestReplicaMappingByHealth) } } }"	"For all the collections in zookeeper , compute the best replica for every shard for every collection . Doing this computation at bootup significantly reduces the computation done during streaming ."
